GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,RoleServiceImpl,12,74,1,3,2,14,2,8,1,7
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,UserServiceImpl,0,130,0,4,0,23,0,12,0,10
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,AutorServiceImpl,0,66,0,4,0,13,0,10,0,8
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,GeneroServiceImpl,0,66,0,4,0,13,0,10,0,8
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,EditoraServiceImpl,0,70,0,4,0,15,0,10,0,8
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.business.impl,LivroServiceImpl,0,70,0,4,0,15,0,10,0,8
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,User,227,81,53,1,0,10,30,15,3,15
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,UserIdentification,190,30,39,1,3,11,29,5,9,5
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,Role,78,47,20,2,1,4,15,6,4,6
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,Autor,246,96,61,1,0,10,34,17,3,17
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,Editora,184,71,45,1,0,8,26,13,3,13
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,Genero,122,47,29,1,0,6,18,9,3,9
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.domain,Livro,304,127,77,1,0,12,41,22,2,22
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.config,Messages,3,0,0,0,1,0,1,0,1,0
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.config,OpenApiConfig,0,33,0,0,0,9,0,2,0,2
cad-livros-api,br.com.bgrbarbosa.cad_livros_api,CadLivrosApiApplication,5,3,0,0,2,1,1,1,1,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.exceptions,RoleException,0,3,0,0,0,2,0,1,0,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.exceptions,UserException,0,3,0,0,0,2,0,1,0,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.infraestruture.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.api.dto,EditoraDTO,0,18,0,0,0,1,0,1,0,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.api.dto,UserRequestDTO,0,9,0,0,0,1,0,1,0,1
cad-livros-api,br.com.bgrbarbosa.cad_livros_api.api.dto,LivroDTO,0,30,0,0,0,1,0,1,0,1
